date,sales,store_id,product_id,price,promotion,holiday,weekday,month,year
01-01-2020,212.9,1,1,72.98,0,1,2,1,2020
01-01-2020,183.0,1,2,65.79,0,0,2,1,2020
01-01-2020,176.6,1,3,71.32,0,0,2,1,2020
01-01-2020,224.1,1,4,66.82,0,1,2,1,2020
01-01-2020,215.4,1,5,53.29,1,0,2,1,2020
01-01-2020,229.2,2,1,12.94,0,0,2,1,2020
01-01-2020,167.5,2,2,57.89,0,0,2,1,2020
01-01-2020,128.4,2,3,99.82,0,0,2,1,2020
01-01-2020,188.0,2,4,50.13,0,0,2,1,2020
01-01-2020,136.9,2,5,79.1,0,0,2,1,2020
01-01-2020,199.6,3,1,35.49,0,0,2,1,2020
01-01-2020,183.3,3,2,50.99,0,0,2,1,2020
01-01-2020,180.9,3,3,61.89,0,0,2,1,2020
01-01-2020,188.4,3,4,39.55,0,0,2,1,2020
01-01-2020,137.1,3,5,96.23,0,0,2,1,2020
01-01-2020,214.1,4,1,30.08,0,0,2,1,2020
01-01-2020,163.0,4,2,57.79,0,0,2,1,2020
01-01-2020,211.9,4,3,53.96,1,0,2,1,2020
01-01-2020,157.8,4,4,76.35,0,0,2,1,2020
01-01-2020,255.0,4,5,40.71,0,1,2,1,2020
01-01-2020,201.1,5,1,72.8,1,0,2,1,2020
01-01-2020,226.5,5,2,55.22,1,0,2,1,2020
01-01-2020,185.1,5,3,54.57,0,0,2,1,2020
01-01-2020,150.8,5,4,87.17,0,0,2,1,2020
01-01-2020,223.4,5,5,27.79,0,0,2,1,2020
01-01-2020,202.7,6,1,73.9,1,0,2,1,2020
01-01-2020,141.5,6,2,89.69,0,0,2,1,2020
01-01-2020,293.8,6,3,14.37,1,0,2,1,2020
01-01-2020,163.2,6,4,70.14,0,0,2,1,2020
01-01-2020,124.8,6,5,97.8,0,0,2,1,2020
01-01-2020,215.1,7,1,66.46,1,0,2,1,2020
01-01-2020,191.5,7,2,42.63,0,0,2,1,2020
01-01-2020,244.7,7,3,11.57,0,0,2,1,2020
01-01-2020,186.5,7,4,77.84,1,0,2,1,2020
01-01-2020,209.6,7,5,55.56,1,0,2,1,2020
01-01-2020,152.4,8,1,75.46,0,0,2,1,2020
01-01-2020,248.1,8,2,34.65,1,0,2,1,2020
01-01-2020,216.4,8,3,24.98,0,0,2,1,2020
01-01-2020,203.6,8,4,35.82,0,0,2,1,2020
01-01-2020,167.6,8,5,69.16,0,0,2,1,2020
01-01-2020,270.5,9,1,21.71,0,1,2,1,2020
01-01-2020,183.3,9,2,53.13,0,0,2,1,2020
01-01-2020,171.3,9,3,61.44,0,0,2,1,2020
01-01-2020,143.7,9,4,87.48,0,0,2,1,2020
01-01-2020,242.2,9,5,46.17,1,0,2,1,2020
01-01-2020,214.3,10,1,34.61,0,0,2,1,2020
01-01-2020,189.5,10,2,53.08,0,0,2,1,2020
01-01-2020,163.0,10,3,87.16,0,0,2,1,2020
01-01-2020,143.3,10,4,86.18,0,0,2,1,2020
01-01-2020,167.7,10,5,61.82,0,0,2,1,2020
02-01-2020,186.3,1,1,42.44,0,0,3,1,2020
02-01-2020,158.5,1,2,77,0,0,3,1,2020
02-01-2020,243.0,1,3,32.81,1,0,3,1,2020
02-01-2020,212.8,1,4,55.96,1,0,3,1,2020
02-01-2020,175.8,1,5,61.2,0,0,3,1,2020
